term,definition
Photosynthesis,The process where plants convert light energy into chemical energy stored as glucose
Mitochondria,Membrane-bound organelle that produces ATP through cellular respiration
Osmosis,Movement of water across a semipermeable membrane from low to high solute concentration
Mitosis,Cell division producing two identical daughter cells with the same chromosome count
Meiosis,Cell division producing four haploid gametes with half the chromosome count
DNA,Double-helix molecule carrying an organism's genetic instructions
RNA,Single-stranded nucleic acid that copies DNA to build proteins
Ribosome,Cellular structure that assembles proteins from amino acids
Enzyme,Protein that speeds up chemical reactions without being consumed
Homeostasis,An organism's ability to maintain stable internal conditions
